Id,Designator,Footprint,Quantity,Designation,Mouser ID
1,D1,TO-220-3_Vertical_Stagger,1,BTA316-600B,771-BTA316-600B127
2,"R4,R3,R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,1k 0.25W,279-LR1F1K0
3,J1,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,1,Conn_01x04,
4,U1,DIP-4_W7.62mm,1,LTV-817,859-LTV-817
5,F1,0751.0231Schurter,2,7A,693-0751.0231
6,R1,R_Axial_DIN0617_L17.0mm_D6.0mm_P7.62mm_Vertical,1,1k 3W,279-ROX3SJ1K0
7,"J2,J3","TerminalBlock_Phoenix_PT-1,5-3-3.5-H_1x03_P3.50mm_Horizontal",2,Screw_Terminal_01x03,651-1935174
8,T1,XFMR_FS12-200-C2,1,FS12-200-C2,553-FS12-200-C2
9,U2,DIP-6_W10.16mm,1,MOC3021M,859-MOC3021M
10,"R7,R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,47k 0.25W,603-CFR-25JT-26C47K
11,BR1,DIP797W52P510L831H533Q4,1,DF10M-E3/45,625-DF10M-E3
12,F1,5x20,10,7A,576-0235007.MXP
